,entidade,codigo,ano,participacao
0,Africa,,2019,7.98931654
1,Albania,ALB,2019,0.159782247
2,Algeria,DZA,2019,0.589509708
3,Angola,AGO,2019,0.087803663
4,Antigua and Barbuda,ATG,2019,0.000204195
5,Argentina,ARG,2019,0.422376457
6,Asia,,2019,80.99356991
7,Australia,AUS,2019,0.003267113
8,Bahamas,BHS,2019,0.002041946
9,Bahrain,BHR,2019,0.0
10,Bangladesh,BGD,2019,2.515677038
11,Barbados,BRB,2019,0.004594378
12,Belgium,BEL,2019,0.003471308
13,Belize,BLZ,2019,0.038184384
14,Benin,BEN,2019,0.167337446
15,Bosnia and Herzegovina,BIH,2019,0.000612584
16,Brazil,BRA,2019,3.859175176
17,Brunei,BRN,2019,0.013681036
18,Bulgaria,BGR,2019,0.000714681
19,Burkina Faso,BFA,2019,0.0
20,Cambodia,KHM,2019,0.113634275
21,Cameroon,CMR,2019,1.0894801
22,Canada,CAN,2019,0.024299153
23,Cape Verde,CPV,2019,0.0
24,Chile,CHL,2019,0.032875325
25,China,CHN,2019,7.218992545
26,Colombia,COL,2019,0.044003929
27,Comoros,COM,2019,0.0
28,Congo,COG,2019,0.069017763
29,Costa Rica,CRI,2019,0.045943777
30,Cote d'Ivoire,CIV,2019,0.488433399
31,Croatia,HRV,2019,0.022869791
32,Cyprus,CYP,2019,0.000306292
33,Democratic Republic of Congo,COD,2019,0.042880859
34,Denmark,DNK,2019,0.000918876
35,Djibouti,DJI,2019,0.000408389
36,Dominica,DMA,2019,0.005411156
37,Dominican Republic,DOM,2019,0.640762544
38,EU-27,,2019,0.220223838
39,East Timor,TLS,2019,0.072999557
40,Ecuador,ECU,2019,0.115982513
41,Egypt,EGY,2019,0.252282385
42,El Salvador,SLV,2019,0.082494604
43,Equatorial Guinea,GNQ,2019,0.041349399
44,Eritrea,ERI,2019,0.00490067
45,Estonia,EST,2019,0.001225167
46,Europe,,2019,0.595431351
47,Fiji,FJI,2019,0.037265508
48,Finland,FIN,2019,0.0
49,France,FRA,2019,0.023992861
50,French Guiana,GUF,2019,0.000714681
51,Gabon,GAB,2019,0.045433291
52,Gambia,GMB,2019,0.042982956
53,Georgia,GEO,2019,0.000306292
54,Germany,DEU,2019,0.013681036
55,Ghana,GHA,2019,0.427277127
56,Greece,GRC,2019,0.022053013
57,Grenada,GRD,2019,0.013272647
58,Guadeloupe,GLP,2019,0.000408389
59,Guatemala,GTM,2019,0.729178791
60,Guinea,GIN,2019,0.239622322
61,Guinea-Bissau,GNB,2019,0.025218029
62,Guyana,GUY,2019,0.127213214
63,Haiti,HTI,2019,0.70743207
64,Honduras,HND,2019,0.24870898
65,Hong Kong,HKG,2019,0.011434896
66,Iceland,ISL,2019,0.0
67,India,IND,2019,12.91663349
68,Indonesia,IDN,2019,5.751446208
69,Iran,IRN,2019,0.094746278
70,Iraq,IRQ,2019,0.006840518
71,Ireland,IRL,2019,0.011741187
72,Israel,ISR,2019,0.00336921
73,Italy,ITA,2019,0.042268275
74,Jamaica,JAM,2019,0.238295057
75,Japan,JPN,2019,0.187348513
76,Jordan,JOR,2019,0.000102097
77,Kazakhstan,KAZ,2019,0.001327265
78,Kenya,KEN,2019,0.026443196
79,Kiribati,KIR,2019,0.0
80,Kuwait,KWT,2019,0.000714681
81,Latvia,LVA,2019,0.000918876
82,Lebanon,LBN,2019,0.069834541
83,Lesotho,LSO,2019,0.0
84,Liberia,LBR,2019,0.269332631
85,Libya,LBY,2019,0.089743511
86,Lithuania,LTU,2019,0.000714681
87,Macau,,2019,0.034815173
88,Madagascar,MDG,2019,0.079125394
89,Malaysia,MYS,2019,7.463107147
90,Maldives,MDV,2019,0.0
91,Malta,MLT,2019,0.0
92,Marshall Islands,MHL,2019,0.0
93,Martinique,MTQ,2019,0.00224614
94,Mauritania,MRT,2019,0.012966355
95,Mauritius,MUS,2019,0.0
96,Mexico,MEX,2019,0.358565656
97,Micronesia,,2019,0.003777599
98,Monaco,MCO,2019,0.0
99,Montenegro,MNE,2019,0.0
100,Morocco,MAR,2019,0.183775108
101,Mozambique,MOZ,2019,0.259735486
102,Myanmar,MMR,2019,0.259735486
103,Namibia,NAM,2019,0.000204195
104,Netherlands,NLD,2019,0.027668364
105,New Zealand,NZL,2019,0.006942615
106,Nicaragua,NIC,2019,0.149572519
107,Nigeria,NGA,2019,1.903093343
108,North America,,2019,4.499120942
109,North Korea,PRK,2019,0.005104864
110,Norway,NOR,2019,0.0
111,Oceania,,2019,0.370715232
112,Oman,OMN,2019,0.000102097
113,Pakistan,PAK,2019,0.089130928
114,Palau,PLW,2019,0.000714681
115,Palestine,PSE,2019,0.012047479
116,Panama,PAN,2019,0.534683468
117,Papua New Guinea,PNG,2019,0.312315587
118,Peru,PER,2019,0.026443196
119,Philippines,PHL,2019,36.38451062
120,Poland,POL,2019,0.002960821
121,Portugal,PRT,2019,0.007759393
122,Puerto Rico,PRI,2019,0.007248907
123,Qatar,QAT,2019,0.0
124,Reunion,REU,2019,0.0
125,Romania,ROU,2019,0.008167783
126,Russia,RUS,2019,0.055336727
127,Saint Kitts and Nevis,KNA,2019,0.000102097
128,Saint Lucia,LCA,2019,0.04584168
129,Saint Martin,,2019,0.0
130,Saint Vincent and the Grenadines,VCT,2019,0.00826988
131,Samoa,WSM,2019,0.0
132,Sao Tome and Principe,STP,2019,0.007861491
133,Saudi Arabia,SAU,2019,0.000306292
134,Senegal,SEN,2019,0.017254441
135,Seychelles,SYC,2019,0.0
136,Sierra Leone,SLE,2019,0.370000551
137,Singapore,SGP,2019,0.016743954
138,Sint Maarten,,2019,0.0
139,Slovakia,SVK,2019,0.0
140,Slovenia,SVN,2019,0.00112307
141,Solomon Islands,SLB,2019,0.010209728
142,Somalia,SOM,2019,0.000204195
143,South Africa,ZAF,2019,0.435547007
144,South America,,2019,5.513253248
145,South Korea,KOR,2019,0.039511648
146,Spain,ESP,2019,0.023992861
147,Sri Lanka,LKA,2019,0.985647164
148,Sudan,SDN,2019,0.010822312
149,Suriname,SUR,2019,0.171217143
150,Sweden,SWE,2019,0.003675502
151,Syria,SYR,2019,0.00449228
152,Taiwan,TWN,2019,0.054213657
153,Tanzania,TZA,2019,0.590632779
154,Thailand,THA,2019,2.328430622
155,Togo,TGO,2019,0.044514415
156,Tonga,TON,2019,0.0
157,Trinidad and Tobago,TTO,2019,0.363160033
158,Tunisia,TUN,2019,0.07024293
159,Turkey,TUR,2019,1.462951959
160,Ukraine,UKR,2019,0.087701566
161,United Arab Emirates,ARE,2019,0.001429362
162,United Kingdom,GBR,2019,0.07177439
163,United States,USA,2019,0.248198493
164,Uruguay,URY,2019,0.101893088
165,Venezuela,VEN,2019,0.611358527
166,Vietnam,VNM,2019,2.881287406
167,Western Sahara,ESH,2019,0.003879697
168,Yemen,YEM,2019,0.025728515
169,Zimbabwe,ZWE,2019,0.0
